id,home_team_goal,away_team_goal,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,label
245,0,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,104378,38337,38255,12473,41109,33662,37044,32760,38229,12574,46335,38797,30692,38800,37861,156551,35412,26224,39631,39591,37262,38369,-1
309,1,3,1,2,4,6,8,2,4,6,8,6,4,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,36835,38342,37047,37021,37051,37957,37909,104386,78462,38251,38357,104378,38337,38255,12473,41109,33662,37044,26916,37065,12574,46335,-1
311,0,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37971,37887,6803,16387,67939,67940,38249,39859,40521,39772,78902,38391,33620,38388,13423,38389,38378,38383,38393,38253,37069,46552,-1
314,4,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37990,36832,21812,11736,95614,39578,38336,38366,163670,27423,38440,38391,33620,38388,38389,38253,38378,38383,38393,106013,37069,12692,1
318,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,39573,67950,6800,38791,164352,67898,37112,38969,178291,154433,17276,38289,38292,39594,25465,38273,38945,38290,95609,15662,34334,69629,1
320,3,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,13131,37988,36849,36845,38322,38371,36852,38784,38786,33622,178284,38341,38349,43049,21834,67896,37025,38343,179058,182605,39848,25619,1
321,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37990,36832,39578,21812,11736,37979,38336,38366,163670,38440,75405,104378,37044,38337,12473,104382,33662,26916,32760,37065,12574,46335,1
323,1,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37937,38293,94462,148314,148313,32863,38435,39498,43158,42153,38794,39573,67950,6800,39389,164352,67898,37112,38969,178291,17276,148286,-1
324,4,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37900,37886,37903,37889,94030,37893,37981,131531,38231,75500,104377,13131,37988,36849,36845,38322,38371,36852,38784,38786,33622,178284,1
327,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38341,38349,39848,38343,37953,21834,38778,67896,182605,37025,25619,38797,25995,37861,47411,129462,32573,37262,35412,26224,148335,38369,1
333,0,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,39573,67950,6800,39389,164352,67898,37112,38969,178291,148286,17276,38391,38388,38389,69713,38798,38383,38393,38253,106013,46552,181276,-1
336,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38391,38388,38389,38253,69713,33620,38393,106013,12692,46552,181276,38289,38292,11569,14642,38273,12099,38290,15662,104404,34334,166675,1
339,0,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,104378,37044,38337,12473,104382,33662,26916,38233,166618,12574,46335,13131,37988,36849,38322,38800,38371,38784,36868,38786,33622,178284,-1
340,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37971,39859,38441,131404,149279,38249,38257,40521,95615,78902,148315,39573,67950,6800,39389,164352,67898,37112,38969,178291,148286,17276,1
342,3,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38797,37861,47411,129462,159888,39591,119117,148335,156551,37262,38369,37990,21812,11736,42594,37963,39578,37979,38366,163670,38336,75405,1
345,2,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,131403,38342,37047,37021,37051,38357,27110,37957,38186,104386,38251,38341,38349,38343,43049,37953,21834,38778,67896,182605,37025,25619,1
350,3,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38391,38388,38389,38253,69713,33620,38383,38393,37069,106013,181276,38318,38247,94288,69805,94284,26669,33671,23997,148336,37945,173432,1
352,4,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37900,37886,37903,37889,131532,37893,37981,26741,131531,104377,38231,39573,67950,38791,67941,164352,67898,37112,38969,178291,148286,17276,1
353,2,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,104378,27838,38337,12473,104382,26916,32760,41109,39875,12574,46335,38797,37861,47411,129462,159888,35412,39591,156551,37262,38369,166302,1
357,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38391,33620,38388,38389,69713,38378,38393,38253,106013,37069,181276,37971,39859,38441,131404,149279,38249,33685,38257,40521,95615,148315,1
360,3,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,104378,27838,38337,12473,104382,27421,33662,26916,32760,12574,46335,131403,38342,37047,37021,38186,38357,27110,37957,104386,166670,89548,1
362,3,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,13131,37988,36849,38322,38800,38371,38784,36868,38786,41106,33622,38318,38247,94288,69805,94284,26669,33671,23997,148336,37945,24037,1
366,1,3,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,36835,38342,37047,37051,37038,38186,27110,37957,104386,38357,38251,38391,33620,38388,38389,69713,38378,38383,38393,38253,106013,37069,-1
367,0,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38289,38292,39594,11569,14642,12099,38945,25465,38290,15662,69629,37990,36832,21812,37858,42594,38336,38366,52280,39578,37979,75405,-1
373,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37900,37886,37100,37889,131532,37981,131531,130027,37893,38231,104377,36835,38342,37047,38789,37038,38186,27110,37957,104386,166670,38357,1
377,3,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38391,33620,38388,38389,38253,69713,38393,148302,38378,38383,181276,37990,36832,21812,38336,39578,37979,11736,42594,38366,163670,75405,1
380,0,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38289,38292,39594,11569,14642,12099,38945,25465,38290,15662,69629,104378,27838,38337,12473,104382,27421,33662,32760,46335,148329,166618,-1
382,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38327,6800,39389,67941,67898,37112,67957,67959,148286,17276,26502,13131,37988,36849,38322,38380,38800,38784,38786,166676,41106,33622,1
384,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37990,21812,11736,37858,42594,37963,39578,37979,38336,27423,38440,30934,38292,39594,11569,14642,12099,38945,95609,15662,30485,104404,1
385,3,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38391,33620,38388,13423,38389,30949,38378,38383,38393,37069,46552,131403,38342,37047,37021,37051,38357,32863,37909,104386,78462,89548,1
388,2,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,104378,38337,38255,12473,41109,33662,26916,38233,32760,37065,12574,38327,67950,6800,39389,67941,38801,67898,37112,178291,67952,17276,1
